date_show,2023,2022,2021
2023-04-22,84.38219165416857,85.68591565416855,121.15492292554032
2023-04-23,76.4117165136658,85.68591565416855,121.15492292554032
2023-04-24,81.72085366229993,85.68591565416855,116.81831496915852
2023-04-25,81.72085366229993,85.36422064361784,112.84772565416856
2023-04-26,76.4117165136658,85.68591565416855,105.81825764361784
2023-04-27,72.75245664361783,85.68591565416855,101.61345901775051
2023-04-28,69.13221540187945,89.61940214548864,94.37776866229993
2023-04-29,63.198308017750506,89.61940214548864,94.37776866229993
2023-04-30,60.38881152615137,89.61940214548864,94.37776866229993
2023-05-01,60.27402663590545,89.312360914273,101.61345901775051
2023-05-02,60.38881152615137,89.312360914273,107.63329252615137
2023-05-03,60.38881152615137,79.53429052615138,109.28697894844103
2023-05-04,60.38881152615137,73.70673541338064,110.81099091427296
2023-05-05,60.38881152615137,73.70673541338064,111.15240724107929
2023-05-06,58.96584373649917,73.70673541338064,118.68153441338066
2023-05-07,58.96584373649917,73.70673541338064,118.68153441338066
2023-05-08,58.96584373649917,71.04534124107926,118.68153441338066
2023-05-09,57.16149978070798,70.84917207690125,111.15240724107929
2023-05-10,57.16149978070798,67.63088314678104,109.81234614678105
2023-05-11,57.16149978070798,61.24392509573758,95.02646409573757
2023-05-12,57.16149978070798,55.34061026776672,90.86928159700753
2023-05-13,63.662741998816905,55.34061026776672,90.86928159700753
2023-05-14,63.662741998816905,54.19436699881687,90.86928159700753
2023-05-15,63.662741998816905,51.164767238577255,90.86928159700753
2023-05-16,67.84496736086348,54.19436699881687,92.63394123857726
2023-05-17,68.52777059700757,54.04523498934309,94.40445134351943
2023-05-18,67.84496736086348,51.164767238577255,93.81459797070882
2023-05-19,61.08005676998762,51.164767238577255,94.40445134351943
2023-05-20,57.21055719237267,51.164767238577255,93.81459797070882
2023-05-21,57.21055719237267,50.46373107534093,93.81459797070882
2023-05-22,56.24942897070885,50.46373107534093,93.81459797070882
2023-05-23,53.98284341969702,47.700896970708826,93.74504649931215
