,indicator,periodType,periodFrom,periodTo,tsoEicCode,operatorLabel,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,isCamRelevant,isNA,isCmpRelevant,interruptionCalculationRemark,isArchived
45,Physical Flow,day,2017-02-15 06:00,2017-02-16 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,233492937.0,2017-02-24 08:18,,Provisional,yes,,,,
46,Physical Flow,day,2017-02-16 06:00,2017-02-17 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,217234723.0,2017-02-24 08:18,,Provisional,yes,,,,
47,Physical Flow,day,2017-02-17 06:00,2017-02-18 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,199566552.0,2017-02-24 08:18,,Provisional,yes,,,,
48,Physical Flow,day,2017-02-18 06:00,2017-02-19 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,158983206.0,2017-02-24 08:18,,Provisional,yes,,,,
49,Physical Flow,day,2017-02-19 06:00,2017-02-20 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,156962262.0,2017-02-24 08:18,,Provisional,yes,,,,
50,Physical Flow,day,2017-02-20 06:00,2017-02-21 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,241999252.0,2017-02-24 08:18,,Provisional,yes,,,,
51,Physical Flow,day,2017-02-21 06:00,2017-02-22 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,279361600.0,2017-02-24 08:18,,Provisional,yes,,,,
52,Physical Flow,day,2017-02-22 06:00,2017-02-23 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,282953743.0,2017-02-24 08:18,,Provisional,yes,,,,
53,Physical Flow,day,2017-02-23 06:00,2017-02-24 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,260592161.0,2017-02-24 12:00,,Provisional,yes,,,,
54,Physical Flow,day,2017-02-24 06:00,2017-02-25 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,246385910.0,2017-02-25 10:36,,Provisional,yes,,,,
55,Physical Flow,day,2017-02-25 06:00,2017-02-26 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,304814379.0,2017-02-26 10:36,,Provisional,yes,,,,
56,Physical Flow,day,2017-02-26 06:00,2017-02-27 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,302276304.0,2017-02-27 10:36,,Provisional,yes,,,,
57,Physical Flow,day,2017-02-27 06:00,2017-02-28 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,306462004.0,2017-02-28 10:36,,Provisional,yes,,,,
