,indicator,periodType,periodFrom,periodTo,tsoEicCode,operatorLabel,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,isCamRelevant,isNA,isCmpRelevant,interruptionCalculationRemark,isArchived
26,Physical Flow,day,2018-01-27 06:00,2018-01-28 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,208544546.0,2021-01-16 02:29,,Confirmed,no,,,,
27,Physical Flow,day,2018-01-28 06:00,2018-01-29 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,219870617.0,2021-01-16 00:47,,Confirmed,no,,,,
28,Physical Flow,day,2018-01-29 06:00,2018-01-30 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,219822660.0,2021-01-16 01:46,,Confirmed,no,,,,
29,Physical Flow,day,2018-01-30 06:00,2018-01-31 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,220139854.0,2021-01-16 02:29,,Confirmed,no,,,,
30,Physical Flow,day,2018-01-31 06:00,2018-02-01 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,219975637.0,2021-01-16 03:39,,Confirmed,no,,,,
31,Physical Flow,day,2018-02-01 06:00,2018-02-02 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,73531512.0,2021-01-16 02:38,,Confirmed,no,,,,
32,Physical Flow,day,2018-02-02 06:00,2018-02-03 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,24419008.0,2021-01-16 00:09,,Confirmed,no,,,,
33,Physical Flow,day,2018-02-03 06:00,2018-02-04 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,24369046.0,2021-01-16 03:39,,Confirmed,no,,,,
34,Physical Flow,day,2018-02-04 06:00,2018-02-05 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,24535424.0,2021-01-16 01:52,,Confirmed,no,,,,
35,Physical Flow,day,2018-02-05 06:00,2018-02-06 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,24827846.0,2021-01-16 00:09,,Confirmed,no,,,,
36,Physical Flow,day,2018-02-06 06:00,2018-02-07 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,89632617.0,2021-01-16 02:38,,Confirmed,no,,,,
37,Physical Flow,day,2018-02-07 06:00,2018-02-08 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,60789583.0,2021-01-16 00:47,,Confirmed,no,,,,
38,Physical Flow,day,2018-02-08 06:00,2018-02-09 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,44715195.0,2021-01-16 01:13,,Confirmed,no,,,,
39,Physical Flow,day,2018-02-09 06:00,2018-02-10 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,23319663.0,2021-01-16 02:29,,Confirmed,no,,,,
40,Physical Flow,day,2018-02-10 06:00,2018-02-11 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,23689963.0,2021-01-16 00:47,,Confirmed,no,,,,
41,Physical Flow,day,2018-02-11 06:00,2018-02-12 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,24483092.0,2021-01-16 02:38,,Confirmed,no,,,,
42,Physical Flow,day,2018-02-12 06:00,2018-02-13 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,24584612.0,2021-01-16 00:09,,Confirmed,no,,,,
43,Physical Flow,day,2018-02-13 06:00,2018-02-14 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,65775556.0,2021-01-16 03:39,,Confirmed,no,,,,
44,Physical Flow,day,2018-02-14 06:00,2018-02-15 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,67452452.0,2021-01-16 01:46,,Confirmed,no,,,,
45,Physical Flow,day,2018-02-15 06:00,2018-02-16 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,61710047.0,2021-01-16 00:09,,Confirmed,no,,,,
46,Physical Flow,day,2018-02-16 06:00,2018-02-17 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,72621742.0,2021-01-16 03:39,,Confirmed,no,,,,
47,Physical Flow,day,2018-02-17 06:00,2018-02-18 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,24313704.0,2021-01-16 01:52,,Confirmed,no,,,,
